filename,CE_hubert,CU_hubert,PC_hubert,PQ_hubert,CE_wavlm,CU_wavlm,PC_wavlm,PQ_wavlm
5-212454-A-0.wav,3.6477932929992676,6.491037845611572,2.428288698196411,6.98731803894043,4.215154647827148,6.307057857513428,2.166447877883911,6.669065475463867
5-212730-A-17.wav,3.5919480323791504,6.503239631652832,2.3308463096618652,7.121175765991211,3.705085039138794,6.681570053100586,2.427297592163086,7.108676433563232
5-212734-A-17.wav,3.615032196044922,6.512788772583008,2.3601722717285156,7.094142436981201,4.049524307250977,7.466217994689941,2.1608662605285645,8.275700569152832
5-212736-A-17.wav,3.600484848022461,6.0807881355285645,2.741776704788208,6.392490386962891,3.7746176719665527,6.609941959381104,2.5998823642730717,7.172900199890137
5-213077-A-11.wav,2.9696044921875,4.837930679321289,3.0027568340301514,5.409315586090088,4.039875507354736,6.2487568855285645,2.597435474395752,5.633559703826904
5-213293-A-23.wav,3.5291550159454346,5.91172456741333,2.806518077850342,6.240775108337402,3.3774566650390625,5.670733451843262,1.887568116188049,6.500817775726318
5-213802-A-12.wav,2.9566595554351807,4.815260887145996,3.002448558807373,5.391600608825684,1.7834336757659912,3.120890617370605,3.092834949493408,4.9039692878723145
5-213836-A-9.wav,3.337061882019043,5.517397403717041,2.916168451309204,5.919674396514893,3.5802950859069824,6.51438045501709,2.82161545753479,6.365790843963623
5-213836-B-9.wav,3.227339744567871,5.307817459106445,2.9572999477386475,5.761144161224365,3.769658088684082,6.005161285400391,3.0884571075439453,6.44940710067749
5-213836-C-9.wav,3.0103464126586914,4.90994930267334,3.0008578300476074,5.464176177978516,3.4202468395233154,5.1802520751953125,3.153152704238892,5.875217437744141
5-213836-D-9.wav,3.003140926361084,4.897150039672852,3.001520872116089,5.454624176025391,2.6606686115264893,3.4268991947174072,2.504432439804077,5.03293514251709
5-213855-A-0.wav,3.2542524337768555,5.357693195343018,2.9513626098632812,5.800724029541016,4.622389316558838,6.051192760467529,3.426942110061645,6.838357925415039
5-214362-A-17.wav,3.676910877227783,6.331396102905273,2.6123409271240234,6.654449939727783,3.625883102416992,7.068271636962891,2.2470474243164062,7.32676362991333
5-214759-A-5.wav,3.6135401725769043,6.464883327484131,2.3895070552825928,6.990478992462158,4.66201114654541,6.828407287597656,2.375398635864258,7.082418918609619
5-214759-B-5.wav,3.3531391620635986,6.310546875,2.0685715675354004,7.257993221282959,4.096751689910889,6.335800647735596,1.8936456441879272,6.841516494750977
5-214869-A-9.wav,3.177675724029541,5.213749408721924,2.9736526012420654,5.69252347946167,3.9603755474090576,6.289854526519775,2.965786457061768,6.089584827423096
5-215005-A-32.wav,3.683784246444702,6.380687713623047,2.5797202587127686,6.7230987548828125,3.2813141345977783,7.691427230834961,1.9422777891159055,7.448502540588379
5-215172-A-13.wav,3.6818337440490723,6.464476585388184,2.499781370162964,6.885495185852051,4.680669784545898,7.168364524841309,2.210808515548706,7.022871971130371
5-215179-A-13.wav,2.9727439880371094,4.843506813049316,3.002742052078247,5.413642883300781,3.7188196182250977,4.632890701293945,2.4887194633483887,4.95502519607544
5-215445-A-47.wav,2.9561479091644287,4.814375400543213,3.0019915103912354,5.390540599822998,2.4646599292755127,4.089932918548584,2.2745156288146973,4.9103827476501465
5-215447-A-47.wav,2.956374406814575,4.81483793258667,3.0022079944610596,5.391116619110107,2.837343454360962,3.8650014400482178,2.256981611251831,4.945067405700684
5-215449-A-47.wav,2.957554578781128,4.816861152648926,3.0021355152130127,5.392589569091797,2.729236602783203,3.711569786071777,2.449533700942993,5.026381492614746
5-215634-A-17.wav,3.5984959602355957,6.504342555999756,2.3406622409820557,7.1082305908203125,3.4429614543914795,6.973031044006348,2.1273036003112797,7.747285842895508
5-215658-A-12.wav,2.9974217414855957,4.886953353881836,3.001068353652954,5.44655704498291,2.863960027694702,4.873578071594238,2.7154929637908936,5.5156426429748535
